"Offense","Count"
"AFFRAVATED CRIMINAL SEXUAL ABUSE",1
"AGG CRIM SEX ABUSE / VIC 13-16",1
"AGG CRIM SEX ASSLT",1
"AGG CRIM SEXUAL ABUSE",1
"AGG CRIM SEXUAL ASSAULT",1
"AGG CRIMINAL SEXUAL ASSAULT",1
"AGG CRIMINAL SODOMY W/ CHILD FONDLING AND ORAL SEX W/ 7 DIFFERENT VICTIMS",1
"AGG CRIMINAL SODOMY W/ CHILD FONDLING AND ORAL SEX W/ 7DIFFERENT VICTIMS",1
"AGG INDECENT LIB WITH CHILD LESS THAN 14;FONDLING",1
"AGG INDECENT LIBERTIES W/ CHILD ENGAGED IN SEXUAL INTERCOURSE W/ MINOR",1
"AGG INDECENT SOLICITATION OF A CHILD",1
"AGG SEXUAL ABUSE",1
"AGG SEXUAL ASSAULT CHILD",1
"AGG SEXUAL ASSAULT OF A CHILD",1
"AGG SEXUAL BATTERY",1
"AGGERVATED SEX ABUSE",1
"AGGR SEXUAL ASSAULT/SEXUAL ABUSE",1
"AGGRAVATED ASSAULT",1
"AGGRAVATED ASSAULT WITH INTENT TO RAPE",1
"AGGRAVATED CRIMINAL SEX ABUSE/ VIC 13-16",1
"AGGRAVATED CRIMINAL SEX ASSAULT",1
"AGGRAVATED CRIMINAL SEXUAL ABUSE /VICTIM <13",1
"AGGRAVATED CRIMINAL SEXUAL ABUSE OF A CHILD UNDER 13",1
"AGGRAVATED CRIMINAL SEXUAL ABUSE VICTIM UNDER 13",1
"AGGRAVATED CRIMINAL SEXUAL ABUSE WITH CHILD",1
"AGGRAVATED CRIMINAL SEXUAL ABUSE/BODILY HARM",1
"AGGRAVATED CRIMINAL SEXUAL ABUSE/VIC <13",1
"AGGRAVATED CRIMINAL SEXUAL ABUSE/VIC<13",1
"AGGRAVATED CRIMINAL SEXUAL ABUSE/VICTIM <13",1
"AGGRAVATED CRIMINAL SEXUAL ASSAULT WITH A WEAPON",1
"AGGRAVATED CRIMINAL SEXUAL ASSAULT/BODILY HARM",1
"AGGRAVATED CRIMINAL SEXUAL ASSAULT/WEAPON",1
"AGGRAVATED CRIMINAL SEXUAL CONDUCT 2ND DEGREE",1
"AGGRAVATED CRIMINAL SEXUAL FELONY ASSAULT",1
"AGGRAVATED CRIMINAL SODOMY W/CHILD",1
"AGGRAVATED CRIMINAL SODOMY W/CHILD <14",1
"AGGRAVATED CRIMINAL SODOMY WITH AN ANIMAL",1
"AGGRAVATED CRIMINAL SODOMY; SODOMY WITH A CHILD UNDER 14",1
"AGGRAVATED CRIMNAL SEXUAL ABUSE",1
"AGGRAVATED EXPLOITATION OF A MINOR",1
"AGGRAVATED INDECENT LIBERTIES GE 14 LESS THAN 16",1
"AGGRAVATED INDECENT LIBERTIES W/ A MINOR",1
"AGGRAVATED INDECENT LIBERTIES W/CHILD;<14 YOA; LEWD FONDLING/TOUCHING",1
"AGGRAVATED INDECENT LIBERTIES W/CHILD;<14; LEWD FONDLING/TOUCHING",1
"AGGRAVATED INDECENT LIBERTIES W/CHILD<14; LEWD FONDLING/TOUCHING",1
"AGGRAVATED INDECENT LIBERTIES W/MINOR",1
"AGGRAVATED INDECENT LIBERTIES W/MINOR (ATTEMPT)",1
"AGGRAVATED INDECENT LIBERTIES WITH A CHILD BETWEEN 14 AND 16",1
"AGGRAVATED INDECENT LIBERTIES WITH A CHILD LESS THAN 16",1
"AGGRAVATED INDECENT LIBERTIES WITH A CHILD UNDER 16",1
"AGGRAVATED INDECENT LIBERTIES WITH A MINOR CHILD",1
"AGGRAVATED INDECENT LIBERTIES WITH MINOR",1
"AGGRAVATED INDECENT LIBERTIES/SOLICITATION",1
"AGGRAVATED INDECENT SOLICIATION WITH A CHILD",1
"AGGRAVATED INDECENT SOLICITATION CHILD",1
"AGGRAVATED INDECENT SOLICITATION OF A CHILD UNDER 18",1
"AGGRAVATED KIDNAPPING",1
"AGGRAVATED RAPE;USE OF A MINOR FOR OBSCENE PURPOSES",1
"AGGRAVATED SEX BATTERY",1
"AGGRAVATED SEXUAL ASSAULT- INDECENCY WITH A CHILD",1
"AGGRAVATED SEXUAL ASSAULT 1ST DEGREE",1
"AGGRAVATED SEXUAL ASSAULT OF A CHILD 2ND DEGREE",1
"AGGRAVATED SEXUAL ASSAULT OF MINOR",1
"AGGRAVATED SEXUAL ASSAULT WITH A CHILD",1
"AGGRAVATED SEXUAL ASSAULT/SEXUAL ABUSE",1
"AGGRAVATED SEXUAL ASSUALT OF A CHILD",1
"AGGRAVATED SEXUAL EXPLOITATION OF MINOR",1
"AGGRAVATED SEXUAL EXPLORITATION OF A MINOR",1
"AGGRAVATED STATUTORY RAPE",1
"AGGRAVTED CRIMINAL SODOMY",1
"AGGREVATED INDECENT SOLICIATION OF A MINOR",1
"AGGREVATED INDECENT SOLICITATION OF A CHILD",1
"AGGREVATED SEXUAL BATTERY",1
"ANAL & GENITAL PENETRATION BY FOREIGN OBJECT",1
"ANNOY/MOLESTATION OF A CHILD",1
"ANNOYANCE OF A CHILD",1
"ANNOYING CHILD",1
"APPEMPTED INDECENT LIBERTIES WITH A CHILD",1
"ASSAULT 2ND DEGREE - SEXUAL MOTIVATED",1
"ASSAULT 3RD - SEXUALLY MOTIVATED",1
"ASSAULT 3RD DEGREE - SEXUALLY MOTIVATED",1
"ASSAULT AND BATTERY ON MINOR",1
"ASSAULT OF CHILD/INDECENT EXPOSURE",1
"ASSAULT TO COMMIT SEXUAL ABUSE/NO INJURY",1
"ASSAULT TO COMMIT SEXUAL ACT",1
"ASSAULT W/INTENT TO COMMIT SEXUAL ABUSE 2ND DEGREE",1
"ASSAULT WITH INTENT FOR SEXUAL ABUSE",1
"ASSAULT WITH INTENT SEXUAL ABUSE",1
"ASSAULT WITH INTENT TO COMMIT A FELONY",1
"ASSAULT WITH INTENT TO COMMIT SEX ABUSE - NO INJURY",1
"ASSAULT WITH INTENT TO COMMIT SEXUAL ASSAULT",1
"ASSAULT WITH INTENT TO COMMIT SEXUAL PENETRATION",1
"ASSAULT WITH INTENT TO SEX ABUSE/NO INJUIRY",1
"ASSAULT WITH INTENT TO SEXUALLY ABUSE",1
"ASSLT WITH INTENT TO COMMIT SEXUAL ABUSE",1
"ASST CRIMINAL SEXUAL ASSAULT",1
